Loss,ValLoss,time per step,accumulated seconds,derivative_train_loss,derivative_val_loss
1.1785,0.9693,106,106,0.011117924528301888,0.009144339622641509
0.9487,0.8425,108,214,0.008784259259259259,0.007800925925925926
0.8285,0.7197,107,321,0.007742990654205608,0.006726168224299066
0.7036,0.5887,110,431,0.006396363636363637,0.0053518181818181815
0.5570,0.4406,107,538,0.005205607476635514,0.004117757009345795
0.4403,0.3248,104,642,0.004233653846153846,0.003123076923076923
0.3470,0.2373,108,750,0.0032129629629629626,0.0021972222222222224
0.2788,0.1901,104,854,0.0026807692307692305,0.0018278846153846153
0.2210,0.1531,102,956,0.0021666666666666666,0.0015009803921568628
0.1799,0.1324,106,1062,0.0016971698113207548,0.0012490566037735849
0.1496,0.1372,104,1166,0.0014384615384615386,0.0013192307692307692
0.1292,0.1108,104,1270,0.0012423076923076923,0.0010653846153846154
0.1132,0.1019,105,1375,0.001078095238095238,0.0009704761904761905
0.1022,0.1064,103,1478,0.0009922330097087379,0.001033009708737864
0.0866,0.0903,103,1581,0.0008407766990291261,0.0008766990291262137
0.0876,0.0936,106,1687,0.0008264150943396226,0.0008830188679245283
0.0736,0.0881,103,1790,0.0007145631067961165,0.0008553398058252427
0.0682,0.0936,105,1895,0.0006495238095238095,0.0008914285714285714
0.0641,0.0647,106,2001,0.0006047169811320755,0.000610377358490566
0.0628,0.0633,114,2115,0.000550877192982456,0.0005552631578947368
0.0602,0.0554,124,2239,0.0004854838709677419,0.0004467741935483871
0.0645,0.0729,114,2353,0.0005657894736842106,0.0006394736842105263
0.0589,0.0497,122,2475,0.00048278688524590167,0.0004073770491803279
0.0576,0.0511,122,2597,0.0004721311475409836,0.00041885245901639347
0.0505,0.0681,104,2701,0.0004855769230769231,0.0006548076923076923
0.0485,0.0432,103,2804,0.000470873786407767,0.0004194174757281554
0.0495,0.0426,103,2907,0.0004805825242718447,0.0004135922330097087
0.0431,0.0484,104,3011,0.00041442307692307693,0.0004653846153846154
0.0421,0.0595,103,3114,0.0004087378640776699,0.0005776699029126214
0.0375,0.0367,103,3217,0.00036407766990291263,0.0003563106796116505
0.0408,0.0390,103,3320,0.00039611650485436894,0.0003786407766990291
0.0371,0.0329,105,3425,0.0003533333333333333,0.0003133333333333333
0.0504,0.0468,101,3526,0.0004990099009900991,0.0004633663366336634
0.0444,0.0394,105,3631,0.0004228571428571429,0.0003752380952380952
0.0394,0.0351,103,3734,0.00038252427184466014,0.0003407766990291262
0.0465,2.0336,103,3837,0.00045145631067961163,0.01974368932038835
0.0474,0.3453,107,3944,0.0004429906542056075,0.0032271028037383176
0.0378,0.1036,118,4062,0.00032033898305084747,0.0008779661016949153
0.0389,0.0419,106,4168,0.00036698113207547166,0.00039528301886792455
0.0383,0.0427,107,4275,0.00035794392523364485,0.0003990654205607477
0.0397,0.0593,107,4382,0.0003710280373831776,0.0005542056074766355
0.0375,0.0399,109,4491,0.0003440366972477064,0.0003660550458715596
0.0342,0.0314,110,4601,0.0003109090909090909,0.00028545454545454544
0.0334,0.0267,109,4710,0.0003064220183486238,0.000244954128440367
0.0342,0.0337,109,4819,0.00031376146788990826,0.00030917431192660554
0.0310,0.0538,106,4925,0.00029245283018867926,0.0005075471698113207
0.0419,0.0452,103,5028,0.0004067961165048544,0.00043883495145631064
0.0313,0.0393,105,5133,0.0002980952380952381,0.0003742857142857143
0.0351,0.0391,103,5236,0.0003407766990291262,0.0003796116504854369
0.0304,0.0287,103,5339,0.00029514563106796115,0.0002786407766990291
0.0302,0.0438,109,5448,0.00027706422018348623,0.0004018348623853211
0.0277,0.0258,106,5554,0.00026132075471698113,0.00024339622641509433
0.0261,0.0259,110,5664,0.0002372727272727273,0.00023545454545454545
0.0357,0.0318,109,5773,0.00032752293577981655,0.00029174311926605506
0.0261,0.0413,109,5882,0.0002394495412844037,0.00037889908256880735
0.0362,0.0528,111,5993,0.00032612612612612613,0.0004756756756756757
0.0274,0.0396,111,6104,0.0002468468468468469,0.00035675675675675677
0.0376,0.0373,109,6213,0.000344954128440367,0.0003422018348623853
0.0267,0.0312,107,6320,0.00024953271028037386,0.00029158878504672897
0.0280,0.0342,108,6428,0.00025925925925925926,0.0003166666666666667
0.0226,0.0260,112,6540,0.00020178571428571427,0.00023214285714285714
0.0233,0.0222,113,6653,0.00020619469026548673,0.00019646017699115044
0.0268,0.0262,110,6763,0.00024363636363636365,0.00023818181818181818
0.0280,0.0326,109,6872,0.00025688073394495415,0.00029908256880733944
0.0313,0.0400,106,6978,0.00029528301886792456,0.0003773584905660377
0.0261,0.0215,104,7082,0.0002509615384615385,0.00020673076923076922
0.0248,0.0238,102,7184,0.00024313725490196077,0.00023333333333333336
0.0331,0.0306,104,7288,0.00031826923076923075,0.00029423076923076923
0.0230,0.0224,103,7391,0.0002233009708737864,0.0002174757281553398
0.0248,0.0543,104,7495,0.00023846153846153847,0.0005221153846153847
